Author	Link	identifier
K. Camerman	https://www.dbnl.org/auteurs/auteur.php?id=came011	came011
Albert van Driessche	https://www.dbnl.org/auteurs/auteur.php?id=drie008	drie008
Paul van Alderman	https://www.dbnl.org/auteurs/auteur.php?id=alde015	alde015
Juul Filliaert	https://www.dbnl.org/auteurs/auteur.php?id=fill002	fill002
M. Rutten	https://www.dbnl.org/auteurs/auteur.php?id=rutt006	rutt006
Joost Stokers	https://www.dbnl.org/auteurs/auteur.php?id=stok020	stok020
Gery Helderenberg	https://www.dbnl.org/auteurs/auteur.php?id=held002	held002
L. Vermeirsch	https://www.dbnl.org/auteurs/auteur.php?id=verm210	verm210
Johan van de Natuur	https://www.dbnl.org/auteurs/auteur.php?id=natu001	natu001
Joh. van Dinter	https://www.dbnl.org/auteurs/auteur.php?id=dint003	dint003
Odo Siril	https://www.dbnl.org/auteurs/auteur.php?id=siri001	siri001
Filip de Pillecyn	https://www.dbnl.org/auteurs/auteur.php?id=pill001	pill001
Huber Lebon	https://www.dbnl.org/auteurs/auteur.php?id=lebo004	lebo004
J. de Porr	https://www.dbnl.org/auteurs/auteur.php?id=porr002	porr002
Lodewijk van Eyck	https://www.dbnl.org/auteurs/auteur.php?id=eyck034	eyck034
Joseph Laenen	https://www.dbnl.org/auteurs/auteur.php?id=laen008	laen008
Maurits van Hoeck	https://www.dbnl.org/auteurs/auteur.php?id=hoec025	hoec025
Frans Verschoren	https://www.dbnl.org/auteurs/auteur.php?id=vers010	vers010
Evermar van Moere	https://www.dbnl.org/auteurs/auteur.php?id=moer058	moer058
J.F.M. Coveliers	https://www.dbnl.org/auteurs/auteur.php?id=cove005	cove005
R. Foncke	https://www.dbnl.org/auteurs/auteur.php?id=fonc001	fonc001
Florentijn Jan van der Mueren	https://www.dbnl.org/auteurs/auteur.php?id=muer002	muer002
V. Willems	https://www.dbnl.org/auteurs/auteur.php?id=will247	will247
Owen Feltham	https://www.dbnl.org/auteurs/auteur.php?id=felt009	felt009
zuster Maria Jozefa	https://www.dbnl.org/auteurs/auteur.php?id=mari002	mari002
Dirk Vansina	https://www.dbnl.org/auteurs/auteur.php?id=vans002	vans002
René Gaspar	https://www.dbnl.org/auteurs/auteur.php?id=gasp002	gasp002
Jan Boon	https://www.dbnl.org/auteurs/auteur.php?id=boon006	boon006
Wilhelm Scherer	https://www.dbnl.org/auteurs/auteur.php?id=sche386	sche386
Remy Saen	https://www.dbnl.org/auteurs/auteur.php?id=saen008	saen008
Joris Caeymaex	https://www.dbnl.org/auteurs/auteur.php?id=caey001	caey001
Lambert Aerts	https://www.dbnl.org/auteurs/auteur.php?id=aert036	aert036
Leo Bittremieux	https://www.dbnl.org/auteurs/auteur.php?id=bitt003	bitt003
Josette Pasquasy	https://www.dbnl.org/auteurs/auteur.php?id=pasq001	pasq001
Fritz Francken	https://www.dbnl.org/auteurs/auteur.php?id=fran007	fran007
August Nobels	https://www.dbnl.org/auteurs/auteur.php?id=nobe013	nobe013
van Huffelen	https://www.dbnl.org/auteurs/auteur.php?id=huff013	huff013
A.R. Vincke	https://www.dbnl.org/auteurs/auteur.php?id=vinc050	vinc050
M.R. Pauwels	https://www.dbnl.org/auteurs/auteur.php?id=pauw091	pauw091
Hilaire Allaeys	https://www.dbnl.org/auteurs/auteur.php?id=alla003	alla003
Amaat Vyncke	https://www.dbnl.org/auteurs/auteur.php?id=vync003	vync003
E.D. van Nuffel	https://www.dbnl.org/auteurs/auteur.php?id=nuff002	nuff002
Julius de Wachtere	https://www.dbnl.org/auteurs/auteur.php?id=wach025	wach025
Jozef Goethals	https://www.dbnl.org/auteurs/auteur.php?id=goet046	goet046
P. Kubben	https://www.dbnl.org/auteurs/auteur.php?id=kubb002	kubb002
J. Coenen	https://www.dbnl.org/auteurs/auteur.php?id=coen067	coen067
Jos. de Roeck	https://www.dbnl.org/auteurs/auteur.php?id=roec011	roec011
Constant Lindemans	https://www.dbnl.org/auteurs/auteur.php?id=lind009	lind009
Lynn Doyle	https://www.dbnl.org/auteurs/auteur.php?id=doyl002	doyl002
Alexander Elberts	https://www.dbnl.org/auteurs/auteur.php?id=elbe001	elbe001
Jan Paquay	https://www.dbnl.org/auteurs/auteur.php?id=paqu003	paqu003
L. Grootaers	https://www.dbnl.org/auteurs/auteur.php?id=groo024	groo024
A. van Langendonck	https://www.dbnl.org/auteurs/auteur.php?id=lang219	lang219
Eva Moltesen-Hällström	https://www.dbnl.org/auteurs/auteur.php?id=molt008	molt008
Karel Brants	https://www.dbnl.org/auteurs/auteur.php?id=bran126	bran126
Hubert van de Weerd	https://www.dbnl.org/auteurs/auteur.php?id=weer008	weer008
Jef Scheirs	https://www.dbnl.org/auteurs/auteur.php?id=sche017	sche017
Prosper Poullet	https://www.dbnl.org/auteurs/auteur.php?id=poul002	poul002
P. Thuysbaert jr.	https://www.dbnl.org/auteurs/auteur.php?id=thuy001	thuy001
Raynerius Podevijn	https://www.dbnl.org/auteurs/auteur.php?id=pode001	pode001
Eugène Joors	https://www.dbnl.org/auteurs/auteur.php?id=joor005	joor005
Hendrik Mande	https://www.dbnl.org/auteurs/auteur.php?id=mand002	mand002
Eduard Amter	https://www.dbnl.org/auteurs/auteur.php?id=amte001	amte001
Stephanus de Clippele	https://www.dbnl.org/auteurs/auteur.php?id=clip001	clip001
I.S. Toergenjev	https://www.dbnl.org/auteurs/auteur.php?id=toer001	toer001
Jos. de Klerk	https://www.dbnl.org/auteurs/auteur.php?id=kler024	kler024
Maurits Coomans	https://www.dbnl.org/auteurs/auteur.php?id=coom003	coom003
A. Geerebaert	https://www.dbnl.org/auteurs/auteur.php?id=geer071	geer071
Edmond Rubbens	https://www.dbnl.org/auteurs/auteur.php?id=rubb006	rubb006
Johannes Tauler	https://www.dbnl.org/auteurs/auteur.php?id=taul001	taul001
A.L. Corin	https://www.dbnl.org/auteurs/auteur.php?id=cori003	cori003
J. van Malderen	https://www.dbnl.org/auteurs/auteur.php?id=mald015	mald015
Edw. De Schaepdrijver	https://www.dbnl.org/auteurs/auteur.php?id=scha260	scha260
Jozef van Reusel	https://www.dbnl.org/auteurs/auteur.php?id=reus008	reus008
Lode Monteyne	https://www.dbnl.org/auteurs/auteur.php?id=mont013	mont013
Jan Bols	https://www.dbnl.org/auteurs/auteur.php?id=bols001	bols001
Anton Van de Velde	https://www.dbnl.org/auteurs/auteur.php?id=veld003	veld003
L. Debruyn	https://www.dbnl.org/auteurs/auteur.php?id=debr018	debr018
Frisc over de Heiden	https://www.dbnl.org/auteurs/auteur.php?id=heid058	heid058
Karel Pauwels	https://www.dbnl.org/auteurs/auteur.php?id=pauw092	pauw092
B.H. Molkenboer	https://www.dbnl.org/auteurs/auteur.php?id=molk001	molk001
Frans d'Haese	https://www.dbnl.org/auteurs/auteur.php?id=dhae018	dhae018
Jos Vermeulen	https://www.dbnl.org/auteurs/auteur.php?id=verm209	verm209
Oscar Monstrey	https://www.dbnl.org/auteurs/auteur.php?id=mons017	mons017
Clemens van der Straeten	https://www.dbnl.org/auteurs/auteur.php?id=stra009	stra009
Jos Spriet	https://www.dbnl.org/auteurs/auteur.php?id=spri017	spri017
L. Uten	https://www.dbnl.org/auteurs/auteur.php?id=uten006	uten006
Semper Jejunus	https://www.dbnl.org/auteurs/auteur.php?id=jeju001	jeju001
A. Nagels	https://www.dbnl.org/auteurs/auteur.php?id=nage027	nage027
Joseph Coppens	https://www.dbnl.org/auteurs/auteur.php?id=copp011	copp011
Mirza Riza Viham	https://www.dbnl.org/auteurs/auteur.php?id=viha001	viha001
Raphaël M.J. Kreemers	https://www.dbnl.org/auteurs/auteur.php?id=kree003	kree003
Karel van Sull	https://www.dbnl.org/auteurs/auteur.php?id=sull003	sull003
L. Seurinck	https://www.dbnl.org/auteurs/auteur.php?id=seur002	seur002
J. Rombouts	https://www.dbnl.org/auteurs/auteur.php?id=romb015	romb015
Stephanie Claes-Vetter	https://www.dbnl.org/auteurs/auteur.php?id=clae012	clae012
Arthur Boon	https://www.dbnl.org/auteurs/auteur.php?id=boon001	boon001
R.V. Mortier	https://www.dbnl.org/auteurs/auteur.php?id=mort002	mort002
Eugenius Druwé	https://www.dbnl.org/auteurs/auteur.php?id=druw002	druw002
Gérard Philips	https://www.dbnl.org/auteurs/auteur.php?id=phil075	phil075
J.A. Goris	https://www.dbnl.org/auteurs/auteur.php?id=gori020	gori020
Charles Gillès de Pélichy	https://www.dbnl.org/auteurs/auteur.php?id=gill041	gill041
J. Heyrman	https://www.dbnl.org/auteurs/auteur.php?id=heyr003	heyr003
Odilon Demarre	https://www.dbnl.org/auteurs/auteur.php?id=dema016	dema016
Leonie Weckx	https://www.dbnl.org/auteurs/auteur.php?id=weck004	weck004
Julius Plancquaert	https://www.dbnl.org/auteurs/auteur.php?id=plan011	plan011
Hilarion Thans	https://www.dbnl.org/auteurs/auteur.php?id=than001	than001
Reinier Ysabie	https://www.dbnl.org/auteurs/auteur.php?id=ysab001	ysab001
Odilo Jacobs	https://www.dbnl.org/auteurs/auteur.php?id=jaco044	jaco044
J.A. Hallez	https://www.dbnl.org/auteurs/auteur.php?id=hall008	hall008
J.P. Colsen	https://www.dbnl.org/auteurs/auteur.php?id=cols004	cols004
Vincent Cleerdin	https://www.dbnl.org/auteurs/auteur.php?id=clee003	clee003
C.H. de Ronde	https://www.dbnl.org/auteurs/auteur.php?id=rond011	rond011
Joris Baers	https://www.dbnl.org/auteurs/auteur.php?id=baer006	baer006
Th. De Ronde	https://www.dbnl.org/auteurs/auteur.php?id=rond002	rond002
E.H.J. Bernaerts	https://www.dbnl.org/auteurs/auteur.php?id=bern099	bern099
Lydia van Kerckhoven	https://www.dbnl.org/auteurs/auteur.php?id=kerc042	kerc042
Juliaan De Vriendt	https://www.dbnl.org/auteurs/auteur.php?id=vrie165	vrie165
Alice Nahon	https://www.dbnl.org/auteurs/auteur.php?id=naho001	naho001
D.F.F.J. Mercier	https://www.dbnl.org/auteurs/auteur.php?id=merc032	merc032
K.L.M. Schoeters	https://www.dbnl.org/auteurs/auteur.php?id=scho533	scho533
Clemens Daenen	https://www.dbnl.org/auteurs/auteur.php?id=daen006	daen006
E. Jaulusz.	https://www.dbnl.org/auteurs/auteur.php?id=jaul001	jaul001
Stan Dietvors	https://www.dbnl.org/auteurs/auteur.php?id=diet013	diet013
Huib Hoste	https://www.dbnl.org/auteurs/auteur.php?id=host006	host006
Oskar Katann	https://www.dbnl.org/auteurs/auteur.php?id=kata001	kata001
Jac. Weil	https://www.dbnl.org/auteurs/auteur.php?id=weil017	weil017
Eugeen van Oye	https://www.dbnl.org/auteurs/auteur.php?id=oye_001	oye_001
Herman Deckers	https://www.dbnl.org/auteurs/auteur.php?id=deck045	deck045
Mécs Laszló	https://www.dbnl.org/auteurs/auteur.php?id=lasz002	lasz002
A. Cardyn	https://www.dbnl.org/auteurs/auteur.php?id=card013	card013
Richard Dewachter	https://www.dbnl.org/auteurs/auteur.php?id=dewa002	dewa002
André van Praag	https://www.dbnl.org/auteurs/auteur.php?id=praa021	praa021
Ernest Closson	https://www.dbnl.org/auteurs/auteur.php?id=clos006	clos006
Jan Chiapusso	https://www.dbnl.org/auteurs/auteur.php?id=chia001	chia001
A.M. Pols	https://www.dbnl.org/auteurs/auteur.php?id=pols007	pols007
L. van den Eynde	https://www.dbnl.org/auteurs/auteur.php?id=eynd007	eynd007
Pierre De Clercq	https://www.dbnl.org/auteurs/auteur.php?id=cler074	cler074
L. de Smet	https://www.dbnl.org/auteurs/auteur.php?id=smet072	smet072
Jozef Uytterhoeven	https://www.dbnl.org/auteurs/auteur.php?id=uytt002	uytt002
Léopold Levaux	https://www.dbnl.org/auteurs/auteur.php?id=leva003	leva003
Jos. de Brandt	https://www.dbnl.org/auteurs/auteur.php?id=bran182	bran182
Robert Grosche	https://www.dbnl.org/auteurs/auteur.php?id=gros025	gros025
E.H.J. Hallez	https://www.dbnl.org/auteurs/auteur.php?id=hall047	hall047
Huib Luns	https://www.dbnl.org/auteurs/auteur.php?id=luns003	luns003
Constant Godelaine	https://www.dbnl.org/auteurs/auteur.php?id=gode003	gode003
August van Boeckxsel	https://www.dbnl.org/auteurs/auteur.php?id=boec007	boec007
J. Groot	https://www.dbnl.org/auteurs/auteur.php?id=groo212	groo212
A.J. Hallez	https://www.dbnl.org/auteurs/auteur.php?id=hall048	hall048
Edgar Lee Masters	https://www.dbnl.org/auteurs/auteur.php?id=mast026	mast026
Francisque Darcieux	https://www.dbnl.org/auteurs/auteur.php?id=darc001	darc001
Victorinus Groot	https://www.dbnl.org/auteurs/auteur.php?id=groo213	groo213
Adolf ter Haghe	https://www.dbnl.org/auteurs/auteur.php?id=hagh001	hagh001
Jef Notermans	https://www.dbnl.org/auteurs/auteur.php?id=note004	note004
Pablo Sáenz de Barés	https://www.dbnl.org/auteurs/auteur.php?id=saen009	saen009
Alfons Ariëns	https://www.dbnl.org/auteurs/auteur.php?id=arie002	arie002
Albertine Steenhoff-Smulders	https://www.dbnl.org/auteurs/auteur.php?id=stee024	stee024
Rita Hostie	https://www.dbnl.org/auteurs/auteur.php?id=host011	host011
F.S. van Bouwdijk Bastiaanse	https://www.dbnl.org/auteurs/auteur.php?id=bouw060	bouw060
Rob. Roemans	https://www.dbnl.org/auteurs/auteur.php?id=roem001	roem001
Theo Cruysse	https://www.dbnl.org/auteurs/auteur.php?id=cruy028	cruy028
H.J. de Vleeschouwer	https://www.dbnl.org/auteurs/auteur.php?id=vlee016	vlee016
Marc de Munnynck	https://www.dbnl.org/auteurs/auteur.php?id=munn021	munn021
Arnold Sauwen	https://www.dbnl.org/auteurs/auteur.php?id=sauw001	sauw001
Sigrid Undset	https://www.dbnl.org/auteurs/auteur.php?id=unds001	unds001
O. Praem	https://www.dbnl.org/auteurs/auteur.php?id=prae016	prae016
C. Ldov	https://www.dbnl.org/auteurs/auteur.php?id=ldov001	ldov001
Maurits S.C.M. Molenaar	https://www.dbnl.org/auteurs/auteur.php?id=mole012	mole012
Robert van Passen	https://www.dbnl.org/auteurs/auteur.php?id=pass009	pass009
Jeanne de Bruyn	https://www.dbnl.org/auteurs/auteur.php?id=bruy008	bruy008
Frans de Wilde	https://www.dbnl.org/auteurs/auteur.php?id=wild004	wild004
Theodoor Belpaire	https://www.dbnl.org/auteurs/auteur.php?id=belp005	belp005
Gottfried Hasenkamp	https://www.dbnl.org/auteurs/auteur.php?id=hase020	hase020
Gabriël Merlier	https://www.dbnl.org/auteurs/auteur.php?id=merl019	merl019
Paul Van de Woestijne	https://www.dbnl.org/auteurs/auteur.php?id=woes005	woes005
Pol Douliez	https://www.dbnl.org/auteurs/auteur.php?id=doul003	doul003
Hildegard van Bingen	https://www.dbnl.org/auteurs/auteur.php?id=bing007	bing007
Aimé de Marest	https://www.dbnl.org/auteurs/auteur.php?id=mare006	mare006
C. Vervaever	https://www.dbnl.org/auteurs/auteur.php?id=verv069	verv069
J.F.J. van Tol	https://www.dbnl.org/auteurs/auteur.php?id=tol_006	tol_006
Pol Heyns	https://www.dbnl.org/auteurs/auteur.php?id=heyn012	heyn012
G. van Mulders	https://www.dbnl.org/auteurs/auteur.php?id=muld100	muld100
Christian Rimestad	https://www.dbnl.org/auteurs/auteur.php?id=rime001	rime001
Johan Oskar Larsen	https://www.dbnl.org/auteurs/auteur.php?id=lars008	lars008
Valfrid Palmgren	https://www.dbnl.org/auteurs/auteur.php?id=palm037	palm037
Erik Jespersen	https://www.dbnl.org/auteurs/auteur.php?id=jesp008	jesp008
Jörgen Bukdahl	https://www.dbnl.org/auteurs/auteur.php?id=bukd001	bukd001
Joh. Nordahl-Olsen	https://www.dbnl.org/auteurs/auteur.php?id=nord020	nord020
Karl Madson	https://www.dbnl.org/auteurs/auteur.php?id=mads002	mads002
Erling Lauhn	https://www.dbnl.org/auteurs/auteur.php?id=lauh001	lauh001
Peder Gram	https://www.dbnl.org/auteurs/auteur.php?id=gram013	gram013
Selma Lagerlöf	https://www.dbnl.org/auteurs/auteur.php?id=lage022	lage022
Karl Gustav Ossianilsson	https://www.dbnl.org/auteurs/auteur.php?id=ossi002	ossi002
Edvard Welle-Strand	https://www.dbnl.org/auteurs/auteur.php?id=well050	well050
Theo Findahl	https://www.dbnl.org/auteurs/auteur.php?id=find001	find001
Pertinax	https://www.dbnl.org/auteurs/auteur.php?id=pert002	pert002
R. van Pottelbergh	https://www.dbnl.org/auteurs/auteur.php?id=pott036	pott036
F.A. Vercammen	https://www.dbnl.org/auteurs/auteur.php?id=verc001	verc001
Jan Bloem	https://www.dbnl.org/auteurs/auteur.php?id=bloe056	bloe056
A. Mansion	https://www.dbnl.org/auteurs/auteur.php?id=mans032	mans032
G. van Overbeke	https://www.dbnl.org/auteurs/auteur.php?id=over105	over105
Ruth Schaumann	https://www.dbnl.org/auteurs/auteur.php?id=scha139	scha139
Giovanni Vittorio Amoretti	https://www.dbnl.org/auteurs/auteur.php?id=amor007	amor007
A. Della Corte	https://www.dbnl.org/auteurs/auteur.php?id=dell006	dell006
Arrigo Levasti	https://www.dbnl.org/auteurs/auteur.php?id=leva004	leva004
Guido Piovene	https://www.dbnl.org/auteurs/auteur.php?id=piov001	piov001
Cipriano Efisio Oppo	https://www.dbnl.org/auteurs/auteur.php?id=oppo001	oppo001
G.A. Borgese	https://www.dbnl.org/auteurs/auteur.php?id=borg051	borg051
Ada Negri	https://www.dbnl.org/auteurs/auteur.php?id=negr003	negr003
Domenico Giuliotti	https://www.dbnl.org/auteurs/auteur.php?id=giul002	giul002
Michelangelo Zimolo	https://www.dbnl.org/auteurs/auteur.php?id=zimo001	zimo001
Edgard de Bruyne	https://www.dbnl.org/auteurs/auteur.php?id=bruy074	bruy074
Vincenzo Cardarelli	https://www.dbnl.org/auteurs/auteur.php?id=card016	card016
Antonio Fogazzaro	https://www.dbnl.org/auteurs/auteur.php?id=foga001	foga001
Sergio Corazzini	https://www.dbnl.org/auteurs/auteur.php?id=cora004	cora004
Nicola Moscardelli	https://www.dbnl.org/auteurs/auteur.php?id=mosc007	mosc007
Franco de Wyels	https://www.dbnl.org/auteurs/auteur.php?id=wyel001	wyel001
Louis Knuvelder	https://www.dbnl.org/auteurs/auteur.php?id=knuv002	knuv002
A. Stracke	https://www.dbnl.org/auteurs/auteur.php?id=stra059	stra059
Eugène de Hovre	https://www.dbnl.org/auteurs/auteur.php?id=hovr002	hovr002
Leo Picard	https://www.dbnl.org/auteurs/auteur.php?id=pica001	pica001
J. Rodolfo Lozada	https://www.dbnl.org/auteurs/auteur.php?id=loza001	loza001
Amado Nervo	https://www.dbnl.org/auteurs/auteur.php?id=nerv003	nerv003
E.H. de Craene	https://www.dbnl.org/auteurs/auteur.php?id=crae032	crae032
A.G. Christiaens	https://www.dbnl.org/auteurs/auteur.php?id=chri005	chri005
Jef Claes	https://www.dbnl.org/auteurs/auteur.php?id=clae122	clae122
Rob van Roosbroeck	https://www.dbnl.org/auteurs/auteur.php?id=roos007	roos007
Karel Verbeke	https://www.dbnl.org/auteurs/auteur.php?id=verb250	verb250
Paolo Arcari	https://www.dbnl.org/auteurs/auteur.php?id=arca003	arca003
H.J. Elias	https://www.dbnl.org/auteurs/auteur.php?id=elia002	elia002
Guido Eeckels	https://www.dbnl.org/auteurs/auteur.php?id=eeck017	eeck017
J. van de Velde	https://www.dbnl.org/auteurs/auteur.php?id=veld178	veld178
Franz de Backer	https://www.dbnl.org/auteurs/auteur.php?id=back004	back004
Theo Bogaerts	https://www.dbnl.org/auteurs/auteur.php?id=boga023	boga023
Frank van den Wijngaert	https://www.dbnl.org/auteurs/auteur.php?id=wijn018	wijn018
Paul Verbruggen	https://www.dbnl.org/auteurs/auteur.php?id=verb028	verb028
Cornelis Backer	https://www.dbnl.org/auteurs/auteur.php?id=back019	back019
J.C.J. Bierens de Haan	https://www.dbnl.org/auteurs/auteur.php?id=bier007	bier007
Georg Moenius	https://www.dbnl.org/auteurs/auteur.php?id=moen010	moen010
Günther Müller	https://www.dbnl.org/auteurs/auteur.php?id=mull042	mull042
Friedrich Muckermann, S.J.	https://www.dbnl.org/auteurs/auteur.php?id=muck001	muck001
Willem Gijssels	https://www.dbnl.org/auteurs/auteur.php?id=gijs008	gijs008
Marcel Lobet	https://www.dbnl.org/auteurs/auteur.php?id=lobe003	lobe003
R.B. Lenaerts	https://www.dbnl.org/auteurs/auteur.php?id=lena006	lena006
C. Houwaard	https://www.dbnl.org/auteurs/auteur.php?id=houw011	houw011
F. Collin	https://www.dbnl.org/auteurs/auteur.php?id=coll007	coll007
Jozef de Wilde	https://www.dbnl.org/auteurs/auteur.php?id=wild005	wild005
William van den Aker	https://www.dbnl.org/auteurs/auteur.php?id=aker001	aker001
Andries Morlion	https://www.dbnl.org/auteurs/auteur.php?id=morl001	morl001
Rudolf Arnheim	https://www.dbnl.org/auteurs/auteur.php?id=arnh002	arnh002
Karel Dekeukeleire	https://www.dbnl.org/auteurs/auteur.php?id=deke009	deke009
P. Seligmann	https://www.dbnl.org/auteurs/auteur.php?id=seli002	seli002
Lode Geysen	https://www.dbnl.org/auteurs/auteur.php?id=geys004	geys004
L. Patris	https://www.dbnl.org/auteurs/auteur.php?id=patr002	patr002
René Devos	https://www.dbnl.org/auteurs/auteur.php?id=devo011	devo011
D. Lunders	https://www.dbnl.org/auteurs/auteur.php?id=lund001	lund001
J.G.R. van Dyck	https://www.dbnl.org/auteurs/auteur.php?id=dyck003	dyck003
Theodor Absil	https://www.dbnl.org/auteurs/auteur.php?id=absi003	absi003
Staf Weyts	https://www.dbnl.org/auteurs/auteur.php?id=weyt001	weyt001
Lanceloot	https://www.dbnl.org/auteurs/auteur.php?id=lanc026	lanc026
Stephanus G. Axters	https://www.dbnl.org/auteurs/auteur.php?id=axte001	axte001
Thierry de Wael	https://www.dbnl.org/auteurs/auteur.php?id=wael031	wael031
Em. de Deyne	https://www.dbnl.org/auteurs/auteur.php?id=deyn010	deyn010
Paul Sobry	https://www.dbnl.org/auteurs/auteur.php?id=sobr002	sobr002
Albert Westerlinck	https://www.dbnl.org/auteurs/auteur.php?id=west021	west021
P. Vermeiren	https://www.dbnl.org/auteurs/auteur.php?id=verm214	verm214
Paul Lebeau	https://www.dbnl.org/auteurs/auteur.php?id=lebe001	lebe001
Alfons Walschap	https://www.dbnl.org/auteurs/auteur.php?id=wals001	wals001
Fernand Bekaert	https://www.dbnl.org/auteurs/auteur.php?id=beka001	beka001
Pomp de Basschaerde	https://www.dbnl.org/auteurs/auteur.php?id=bass032	bass032
P. Morlion	https://www.dbnl.org/auteurs/auteur.php?id=morl005	morl005
Han. Jonkers	https://www.dbnl.org/auteurs/auteur.php?id=jonk046	jonk046
Oskar van der Hallen	https://www.dbnl.org/auteurs/auteur.php?id=hall007	hall007
Jef de Pillecijn	https://www.dbnl.org/auteurs/auteur.php?id=pill008	pill008
Ludwig Drees	https://www.dbnl.org/auteurs/auteur.php?id=dree009	dree009
Maurits Peeters	https://www.dbnl.org/auteurs/auteur.php?id=peet018	peet018
P.J. Weckx	https://www.dbnl.org/auteurs/auteur.php?id=weck005	weck005
Fernand Deschamps	https://www.dbnl.org/auteurs/auteur.php?id=desc021	desc021
Peter Benoit	https://www.dbnl.org/auteurs/auteur.php?id=beno002	beno002
J.F. Vanderheyden	https://www.dbnl.org/auteurs/auteur.php?id=vand023	vand023
Hugo Anns	https://www.dbnl.org/auteurs/auteur.php?id=anns001	anns001
F. Philips	https://www.dbnl.org/auteurs/auteur.php?id=phil072	phil072
René Goris	https://www.dbnl.org/auteurs/auteur.php?id=gori001	gori001
Paul Franck	https://www.dbnl.org/auteurs/auteur.php?id=fran230	fran230
Walther von der Vogelweide	https://www.dbnl.org/auteurs/auteur.php?id=voge073	voge073
Frans Verachtert	https://www.dbnl.org/auteurs/auteur.php?id=vera002	vera002
L. Delwaide	https://www.dbnl.org/auteurs/auteur.php?id=delw002	delw002
Jos. Wils	https://www.dbnl.org/auteurs/auteur.php?id=wils030	wils030
Bert Ranke	https://www.dbnl.org/auteurs/auteur.php?id=rank003	rank003
O. Westerlinck	https://www.dbnl.org/auteurs/auteur.php?id=west191	west191
Joh. Boe	https://www.dbnl.org/auteurs/auteur.php?id=boe_002	boe_002
Taeke de Groot	https://www.dbnl.org/auteurs/auteur.php?id=groo100	groo100
H.H.J. Maas	https://www.dbnl.org/auteurs/auteur.php?id=maas003	maas003
D. Zijlstra	https://www.dbnl.org/auteurs/auteur.php?id=zijl004	zijl004
R. van Cauwelaert	https://www.dbnl.org/auteurs/auteur.php?id=cauw032	cauw032
Frans Tobback	https://www.dbnl.org/auteurs/auteur.php?id=tobb002	tobb002
V.E. van Uytvanck	https://www.dbnl.org/auteurs/auteur.php?id=uytv002	uytv002
Jef Contryn	https://www.dbnl.org/auteurs/auteur.php?id=cont005	cont005
Leo Galle	https://www.dbnl.org/auteurs/auteur.php?id=gall005	gall005
Jan Bertels	https://www.dbnl.org/auteurs/auteur.php?id=bert084	bert084
Maurits de Doncker	https://www.dbnl.org/auteurs/auteur.php?id=donc004	donc004
Desiderius Erasmus	https://www.dbnl.org/auteurs/auteur.php?id=eras001	eras001
Rainer Maria Rilke	https://www.dbnl.org/auteurs/auteur.php?id=rilk002	rilk002
J.L. de Belder	https://www.dbnl.org/auteurs/auteur.php?id=beld002	beld002
Thilda Deckers	https://www.dbnl.org/auteurs/auteur.php?id=deck040	deck040
Korneel Goossens	https://www.dbnl.org/auteurs/auteur.php?id=goos006	goos006
Jan Kestens	https://www.dbnl.org/auteurs/auteur.php?id=kest027	kest027
Robert Maistriaux	https://www.dbnl.org/auteurs/auteur.php?id=mais007	mais007
Ludo Van de Wijgaert	https://www.dbnl.org/auteurs/auteur.php?id=wijg001	wijg001
Flora de Lannoy	https://www.dbnl.org/auteurs/auteur.php?id=lann004	lann004
W.A. de Witte	https://www.dbnl.org/auteurs/auteur.php?id=witt175	witt175
Frans Broekaert	https://www.dbnl.org/auteurs/auteur.php?id=broe254	broe254
A.L Bem	https://www.dbnl.org/auteurs/auteur.php?id=bem_001	bem_001
Leo Landsman	https://www.dbnl.org/auteurs/auteur.php?id=land082	land082
Irma van de Port	https://www.dbnl.org/auteurs/auteur.php?id=port047	port047
Isabelle Landuyt	https://www.dbnl.org/auteurs/auteur.php?id=land087	land087
Gilbert Degroote	https://www.dbnl.org/auteurs/auteur.php?id=degr001	degr001
Marc Staels	https://www.dbnl.org/auteurs/auteur.php?id=stae003	stae003
Emiel Jan Janssen	https://www.dbnl.org/auteurs/auteur.php?id=jans036	jans036
Max Lamberty	https://www.dbnl.org/auteurs/auteur.php?id=lamb028	lamb028
Willy Vaerewijck	https://www.dbnl.org/auteurs/auteur.php?id=vaer001	vaer001
Fred. Walecijn	https://www.dbnl.org/auteurs/auteur.php?id=wale011	wale011
Paul de Ryck	https://www.dbnl.org/auteurs/auteur.php?id=ryck001	ryck001
Marcel Grypdonck	https://www.dbnl.org/auteurs/auteur.php?id=gryp002	gryp002
Novalis	https://www.dbnl.org/auteurs/auteur.php?id=nova005	nova005
Ludo Poplemont	https://www.dbnl.org/auteurs/auteur.php?id=popl001	popl001
Luc Indestege	https://www.dbnl.org/auteurs/auteur.php?id=inde002	inde002
Luc van Brabant	https://www.dbnl.org/auteurs/auteur.php?id=brab004	brab004
Liesbeth van Thillo	https://www.dbnl.org/auteurs/auteur.php?id=thil001	thil001
Leys Achiel	https://www.dbnl.org/auteurs/auteur.php?id=achi002	achi002
Karel Capek	https://www.dbnl.org/auteurs/auteur.php?id=cape007	cape007
Max Kijzer	https://www.dbnl.org/auteurs/auteur.php?id=kijz001	kijz001
Jean-Charles Snoy et d'Oppuers	https://www.dbnl.org/auteurs/auteur.php?id=snoy003	snoy003
J. Keunen	https://www.dbnl.org/auteurs/auteur.php?id=keun009	keun009
