Author	Link	identifier
Ernest van der Hallen	https://www.dbnl.org/auteurs/auteur.php?id=hall005	hall005
Leo Boekraad	https://www.dbnl.org/auteurs/auteur.php?id=boek011	boek011
Herman Hutte	https://www.dbnl.org/auteurs/auteur.php?id=hutt002	hutt002
C. van Oosterhout	https://www.dbnl.org/auteurs/auteur.php?id=oost061	oost061
Esther Hadassa Weyl	https://www.dbnl.org/auteurs/auteur.php?id=weyl002	weyl002
Piet Oomes	https://www.dbnl.org/auteurs/auteur.php?id=oome001	oome001
Ben van Eysselsteijn	https://www.dbnl.org/auteurs/auteur.php?id=eyss002	eyss002
Paul de Vree	https://www.dbnl.org/auteurs/auteur.php?id=vree002	vree002
J.A. van Lieshout	https://www.dbnl.org/auteurs/auteur.php?id=lies009	lies009
P.J.H. Vermeeren	https://www.dbnl.org/auteurs/auteur.php?id=verm009	verm009
Joannes Reddingius	https://www.dbnl.org/auteurs/auteur.php?id=redd002	redd002
Bertus Aafjes	https://www.dbnl.org/auteurs/auteur.php?id=aafj001	aafj001
Paul Haimon	https://www.dbnl.org/auteurs/auteur.php?id=haim001	haim001
Johan Winkler	https://www.dbnl.org/auteurs/auteur.php?id=wink008	wink008
W.C.L. van der Grinten	https://www.dbnl.org/auteurs/auteur.php?id=grin003	grin003
K. Steur	https://www.dbnl.org/auteurs/auteur.php?id=steu007	steu007
Gerth Schreiner	https://www.dbnl.org/auteurs/auteur.php?id=schr008	schr008
Jo Manders	https://www.dbnl.org/auteurs/auteur.php?id=mand007	mand007
J. Slauerhoff	https://www.dbnl.org/auteurs/auteur.php?id=slau001	slau001
A.J.M. Cornelissen	https://www.dbnl.org/auteurs/auteur.php?id=corn032	corn032
Gerard den Brabander	https://www.dbnl.org/auteurs/auteur.php?id=brab001	brab001
Bert Bakker	https://www.dbnl.org/auteurs/auteur.php?id=bakk002	bakk002
Jef Last	https://www.dbnl.org/auteurs/auteur.php?id=last001	last001
Frank Valkenier	https://www.dbnl.org/auteurs/auteur.php?id=valk011	valk011
Simon Vestdijk	https://www.dbnl.org/auteurs/auteur.php?id=vest002	vest002
Bert Decorte	https://www.dbnl.org/auteurs/auteur.php?id=deco002	deco002
Martin Leopold	https://www.dbnl.org/auteurs/auteur.php?id=leop006	leop006
Johan de Molenaar	https://www.dbnl.org/auteurs/auteur.php?id=mole006	mole006
André Demedts	https://www.dbnl.org/auteurs/auteur.php?id=deme001	deme001
A.A. Smijers	https://www.dbnl.org/auteurs/auteur.php?id=smij003	smij003
Piet Beek	https://www.dbnl.org/auteurs/auteur.php?id=beek024	beek024
Willem Hoffman	https://www.dbnl.org/auteurs/auteur.php?id=hoff003	hoff003
Wiel van der Randen	https://www.dbnl.org/auteurs/auteur.php?id=rand005	rand005
C.J. Vos	https://www.dbnl.org/auteurs/auteur.php?id=vos_005	vos_005
G. Engelberg	https://www.dbnl.org/auteurs/auteur.php?id=enge004	enge004
René Berghen	https://www.dbnl.org/auteurs/auteur.php?id=berg056	berg056
Marcel Matthijs	https://www.dbnl.org/auteurs/auteur.php?id=matt009	matt009
Maurice Gilliams	https://www.dbnl.org/auteurs/auteur.php?id=gill003	gill003
Bert Verbist	https://www.dbnl.org/auteurs/auteur.php?id=verb020	verb020
Blanka Gyselen	https://www.dbnl.org/auteurs/auteur.php?id=gyse001	gyse001
Albe	https://www.dbnl.org/auteurs/auteur.php?id=albe001	albe001
Marnix van Gavere	https://www.dbnl.org/auteurs/auteur.php?id=gave001	gave001
Gabriëlle Demedts	https://www.dbnl.org/auteurs/auteur.php?id=deme003	deme003
René Verbeeck	https://www.dbnl.org/auteurs/auteur.php?id=verb005	verb005
Edgar Twello	https://www.dbnl.org/auteurs/auteur.php?id=twel001	twel001
A. van der Wey	https://www.dbnl.org/auteurs/auteur.php?id=wey_001	wey_001
Charles Roelofsz	https://www.dbnl.org/auteurs/auteur.php?id=roel010	roel010
August Vermeylen	https://www.dbnl.org/auteurs/auteur.php?id=verm036	verm036
Adrien Jans	https://www.dbnl.org/auteurs/auteur.php?id=jans119	jans119
Hans Keilson	https://www.dbnl.org/auteurs/auteur.php?id=coop001	coop001
Jan Bent	https://www.dbnl.org/auteurs/auteur.php?id=bent004	bent004
Maurits Dekker	https://www.dbnl.org/auteurs/auteur.php?id=dekk007	dekk007
Gustav Delory	https://www.dbnl.org/auteurs/auteur.php?id=delo002	delo002
Jacob Hendrik van Duinen	https://www.dbnl.org/auteurs/auteur.php?id=duin006	duin006
Joh. Hartog	https://www.dbnl.org/auteurs/auteur.php?id=hart062	hart062
Chris van der Weye	https://www.dbnl.org/auteurs/auteur.php?id=weye001	weye001
Bernard Delfgaauw	https://www.dbnl.org/auteurs/auteur.php?id=delf007	delf007
F.J.J. Buytendijk	https://www.dbnl.org/auteurs/auteur.php?id=buyt004	buyt004
Roel Verlaan	https://www.dbnl.org/auteurs/auteur.php?id=verl002	verl002
Leo Heirman	https://www.dbnl.org/auteurs/auteur.php?id=heir005	heir005
Albert C.A. Voortman	https://www.dbnl.org/auteurs/auteur.php?id=voor032	voor032
Max de Jong	https://www.dbnl.org/auteurs/auteur.php?id=jong045	jong045
A.G.M. van de Wijnpersse	https://www.dbnl.org/auteurs/auteur.php?id=wijn039	wijn039
Robert Franquinet	https://www.dbnl.org/auteurs/auteur.php?id=fran024	fran024
Maarten Vrolijk	https://www.dbnl.org/auteurs/auteur.php?id=vrol001	vrol001
Bert Peleman	https://www.dbnl.org/auteurs/auteur.php?id=pele002	pele002
A. Marja	https://www.dbnl.org/auteurs/auteur.php?id=marj001	marj001
Reinold Kuipers	https://www.dbnl.org/auteurs/auteur.php?id=kuip016	kuip016
Ferd. Sassen	https://www.dbnl.org/auteurs/auteur.php?id=sass011	sass011
D.A. de Graaf	https://www.dbnl.org/auteurs/auteur.php?id=graa004	graa004
Walter Breedveld	https://www.dbnl.org/auteurs/auteur.php?id=bree005	bree005
Marianne Philips	https://www.dbnl.org/auteurs/auteur.php?id=phil006	phil006
Jeanne Liedmeier	https://www.dbnl.org/auteurs/auteur.php?id=lied004	lied004
Max Prick van Wely	https://www.dbnl.org/auteurs/auteur.php?id=pric006	pric006
G. Vos de Wael	https://www.dbnl.org/auteurs/auteur.php?id=vos_043	vos_043
Loe Maas	https://www.dbnl.org/auteurs/auteur.php?id=maas005	maas005
Frederik de Graaf	https://www.dbnl.org/auteurs/auteur.php?id=graa005	graa005
K.J. Hahn	https://www.dbnl.org/auteurs/auteur.php?id=hahn001	hahn001
Jacques Benoit	https://www.dbnl.org/auteurs/auteur.php?id=beno001	beno001
Hendrik Houwens Post	https://www.dbnl.org/auteurs/auteur.php?id=houw013	houw013
Hélène Nolthenius	https://www.dbnl.org/auteurs/auteur.php?id=nolt001	nolt001
Johan Berger	https://www.dbnl.org/auteurs/auteur.php?id=berg033	berg033
A.L.M. Arnolds	https://www.dbnl.org/auteurs/auteur.php?id=arno005	arno005
Victor E. van Vriesland	https://www.dbnl.org/auteurs/auteur.php?id=vrie060	vrie060
C.J. Kelk	https://www.dbnl.org/auteurs/auteur.php?id=kelk001	kelk001
H.W.J.M. Keuls	https://www.dbnl.org/auteurs/auteur.php?id=keul003	keul003
H.J.M.F. Lodewick	https://www.dbnl.org/auteurs/auteur.php?id=lode004	lode004
Ab Visser	https://www.dbnl.org/auteurs/auteur.php?id=viss012	viss012
