identifier	birthCountry_json	deathCountry_json
bell042	Italië	Italië
bell057	Italië	Italië
bell060		
belp001	België (Wallonië)	België (Wallonië)
belp005		
bel_002	Nederland	
bemm007		
bemm008	Nederland	Nederland
bemm009	Nederland	Nederland
bemm019	Nederland	Nederland
bena004	Marokko	
bena006	Spanje	Spanje
bend001	Frankrijk	Frankrijk
bend005	Nederland	Nederland
bend006		
bend012	Nederland	
bend015		
bend022	Polen	
bend023		
benn001	Duitsland	Duitsland
benn004		
beno001	Nederland	Nederland
beno002	België (Wallonië)	België (Wallonië)
bent004		
bent005	Nederland	
bent007		
bent048		
bent049		
bent050		
bent067		
bera001	Tsjechië	
berc004	Nederland	
berc010	Nederland	Nederland
berc066		
berc068	Nederland	
berd002	Nederland	Nederland
bere001		
bere005	Nederland	Nederland
bere007		
bere042		
berg004	Nederland	Nederland
berg006		
berg013	Indonesië	
berg018	Nederland	Nederland
berg023	België (Wallonië)	
berg024		
berg025	Nederland	
berg027		
berg028	Nederland	Nederland
berg033	Nederland	
berg034	Nederland	Nederland
berg042	Nederland	Nederland
berg043	Nederland	Italië
berg046	Nederland	Nederland
berg047	Nederland	Nederland
berg048	Nederland	Nederland
berg056	België (Wallonië)	België (Wallonië)
berg058	Nederland	Nederland
berg060		Nederland
berg064		
berg073	Nederland	Nederland
berg075	Nederland	Nederland
berg076		
berg078	België (Wallonië)	Nederland
berg081	Duitsland	Nederland
berg090	Nederland	Nederland
berg091	Nederland	
berg096	Nederland	Nederland
berg097	Nederland	Nederland
berg098	Indonesië	Nederland
berg102	Nederland	
berg105	België (Wallonië)	
berg108		
berg113	Nederland	Nederland
berg114		
berg172	Nederland	
berg240	Nederland	
berg243	Nederland	
berg244	Nederland	Nederland
berg296	Nederland	
berg309	Nederland	Nederland
berg310	Groot-Brittannië (en Noord-Ierland)	Frankrijk
berg311		
berg313	Nederland	Nederland
berg378		
berg380		
berg426		
berg474		
beri001	Nederland	
beri007		
berk003	Nederland	
berk011	België (Wallonië)	België (Wallonië)
berk022	Nederland	Nederland
berk023	Nederland	Nederland
berk028		
berk067		
berk081		
berl001		
berl006	Nederland	Nederland
bern011		
bern012	Nederland	Nederland
bern013	Nederland	Nederland
bern018	Nederland	Nederland
bern019	Nederland	
bern052	Duitsland	Nederland
bern075		
bern076	België (Wallonië)	België (Wallonië)
bern099		
berr004		
bers001		
bert004	België (Wallonië)	
bert017		
bert041	Nederland	
bert044		
bert045	België (Wallonië)	België (Wallonië)
bert046		
bert047	Frankrijk	
bert060		
bert064		
bert084		
berv001		
besa001		
besa004	Nederland	Nederland
besi001	België (Wallonië)	België (Wallonië)
besn001	Nederland	Nederland
bess001	Nederland	Nederland
bess009		
best004	Nederland	Nederland
best007		
beth004	Nederland	Nederland
beth005		
beth012	België (Wallonië)	België (Wallonië)
bett006	Frankrijk	Frankrijk
betz001		
betz003	Nederland	Nederland
betz005		
beug001	België (Wallonië)	België (Wallonië)
beug002		
beuk002	Nederland	Nederland
beuk005		
beuk022		
beuk025		
beum002		
beum005		
beun003	Nederland	Nederland
beun008	Nederland	
beur002	Nederland	
beur003		
beus002		
beus008		
beus009		Zwitserland
beus017		
beus018		
beve003	Nederland	
beve004	Nederland	Nederland
beve012		Nederland
beye008	Nederland	Nederland
beye039		
beye041		
beye042		
beyl007		
beyn001	Nederland	Nederland
bey_002	Turkije	Turkije
beze002		
beze005	Nederland	Nederland
beze006	Nederland	Nederland
bezo003		
bhal001	India	Nederland
bian001	Nederland	
bick001	Nederland	
bieb002	België (Wallonië)	
bieg006		
biem003		
bien003	Nederland	Nederland
bier001	Nederland	Nederland
bier006		
bier007	Nederland	Nederland
bier009	Nederland	Nederland
bier010	Nederland	
bier021	Nederland	Italië
bier029		
bies004	Nederland	Nederland
biev001		
biez001		
biez002	Nederland	
bie_002	België (Wallonië)	
bie_003	Nederland	Nederland
bigo001	Nederland	Nederland
bijl009		
bijl011		
bijn003	België (Wallonië)	België (Wallonië)
bijs001	Nederland	Nederland
bijv001		
bilc001		
bild002	Nederland	Nederland
bil_001		
bind002	Nederland	
bing001	Nederland	
bing007	Duitsland	Duitsland
binn002		
binn004	Nederland	Nederland
binn008	Nederland	
binn009		
binn010	Nederland	Nederland
binn015	Nederland	
birk001		
birr001	Groot-Brittannië (en Noord-Ierland)	Groot-Brittannië (en Noord-Ierland)
bisc004		
biss002	Nederland	Nederland
bist002		
bitt002	België (Wallonië)	België (Wallonië)
bitt003	België (Wallonië)	
bitt009	België (Wallonië)	België (Wallonië)
blaa002	Nederland	
blaa011	Nederland	Nederland
blaa014	Nederland	Nederland
blad007		
blag001	Bosnië en Herzegovina	
blak002	Groot-Brittannië (en Noord-Ierland)	Groot-Brittannië (en Noord-Ierland)
blam001	Nederland	Nederland
blan006	België (Wallonië)	België (Wallonië)
blan013	Nederland	Nederland
blan015	Nederland	Nederland
blan051	Nederland	
blan057	Venezuela	Argentinië
blan059	Duitsland	
blan060		
blan074		
blas009		
blec001	Nederland	Nederland
blec002		
blee001	Nederland	Nederland
blee005	Nederland	Nederland
bles001	Nederland	Nederland
blie009		
blij001	Nederland	Nederland
blij025	Nederland	
blij028		
blij029		
blin002	Nederland	
bloc010	België (Wallonië)	
bloc044		
bloe001	Nederland	Nederland
bloe004	Nederland	Nederland
bloe007		
bloe009	Nederland	Nederland
bloe011	Nederland	
bloe016	Nederland	
bloe023	Nederland	Nederland
bloe035		
bloe056		
bloe060	België (Wallonië)	
blok001	Nederland	
blok005		
blok006	Nederland	Nederland
blok008		
blok009	Nederland	Nederland
blok013	Nederland	Nederland
blok015		
blok017		
blok031	Nederland	Nederland
blok032	Nederland	
blok042	Nederland	
blok053		
blom001		
blom002	Nederland	Nederland
blom003	Nigeria	
blom006	Nederland	Nederland
blom007	Nederland	Nederland
blom022	Nederland	
blom054		
blom056		
blon003		
blon020	Polen	
blot002	Nederland	Nederland
blum001	Duitsland	Nederland
blus006	Nederland	Nederland
boas001	Nederland	Nederland
boas004	België (Wallonië)	
bobk001	Tsjechië	
bobr001	Rusland	Duitsland
bock002	België (Wallonië)	Nederland
bock006		
boda001	Nederland	
bodd003	België (Wallonië)	Nederland
bode002	Nederland	Nederland
bodn001		
bodo001		
boec007		
boef001	Nederland	
boef005		
boeh001	Duitsland	Nederland
boek003	Nederland	Nederland
boek004	Nederland	Nederland
boek011	Nederland	
boek018	Nederland	Nederland
boek022	Nederland	
boek061		
boek062		
boel001	Nederland	
boel004		
boel011	Nederland	Nederland
boel019	Nederland	Nederland
boen002	België (Wallonië)	
boen003	België (Wallonië)	België (Wallonië)
boer014	Indonesië	Nederland
boer019	Nederland	Nederland
boer021		
boer023	Nederland	Nederland
boer031	Nederland	
boer043	Nederland	Nederland
boer044	Nederland	Nederland
boer051	Nederland	Nederland
boer052	Nederland	Nederland
boer053		
boer057	Nederland	Nederland
boer059	Nederland	Nederland
boer060		
boer063	Nederland	Nederland
boer064	Nederland	Nederland
boer096		
boer108		
boer109	Nederland	Nederland
boer131		
boer144		
boer175		
boer208		
boer219		
boes005	Zuid-Afrika	Zuid-Afrika
boet001	België (Wallonië)	België (Wallonië)
boey004	België (Wallonië)	België (Wallonië)
boey018		
boe_002		
boff001		
boga002		
boga004	Nederland	
boga020	België (Wallonië)	
boga023	België (Wallonië)	België (Wallonië)
boga033		
boga061		
boga064	Nederland	
boga068		Nederland
bogd001	Servië	Oostenrijk
bogm001	Nederland	
bogn001		
bogu001	Polen	
bohe001	Nederland	
bohl001	Nederland	Nederland
bohl003		
boht001	Nederland	Nederland
boia001	Italië	Italië
bois002	Nederland	Nederland
bois004		
bois007	Nederland	Nederland
bois037		
bokh004	Nederland	Zuid-Afrika
bokw001		
bok_007		
bolc001		
bolh005		
bolk001	Nederland	Nederland
bolk003	Nederland	Nederland
bols001	België (Wallonië)	
bols014		
bol_002		
boma001	Nederland	Nederland
bomh002		
bom_001	België (Wallonië)	België (Wallonië)
bonc002	Japan	
bond017		
bone001	Nederland	Nederland
bone005	Nederland	Nederland
bong004	Nederland	Nederland
bonn001	Nederland	Nederland
bonn020		
bonn021	Frankrijk	Frankrijk
bons003		
bont013		Nederland
boog008	Nederland	
boog011		Nederland
boog026		
boog039		
boog045		
booi002	Nederland	
booi005		
boom007	Nederland	
boom011	Nederland	Nederland
boom012	Nederland	Nederland
boom013	Nederland	
boom039	Nederland	
boon001		
boon006	België (Wallonië)	België (Wallonië)
boon009	België (Wallonië)	België (Wallonië)
boon018		
boon021		
boon032		
boon070	Nederland	Nederland
boon075		
boon082	België (Wallonië)	België (Wallonië)
boon084	Nederland	
boon087		
boon105		
boon111		
boor001	Nederland	
boos001	België (Wallonië)	
boos003	Nederland	Nederland
boos006	Nederland	
boov001	Nederland	Nederland
booy003		
booy005	Nederland	Nederland
bord001	Nederland	Nederland
bord004	Nederland	Nederland
bore002	Nederland	Nederland
bore015	Nederland	Nederland
borg001		
borg006	Nederland	Nederland
borg014	Nederland	Nederland
borg033	Nederland	
borg051	Italië	Italië
borm013		
born004	Nederland	Nederland
born005		
born009	Nederland	Nederland
borr013	Nederland	Nederland
borr015	België (Wallonië)	
bosb002	Nederland	Nederland
bosb003		
bosb004		
bosc001	Nederland	
bosc008	Nederland	Nederland
bosc009	Nederland	Nederland
bosc017	Nederland	Nederland
bosc020		
bosc035	Nederland	Nederland
bosc041	Zuid-Afrika	Nederland
bosc046	Nederland	België (Wallonië)
bosc117	Nederland	Nederland
bosc121		
bosc129		
bosc142		
bosc150		
bosc160		
bosd001	Nederland	Nederland
bosh002	Zuid-Afrika	Zuid-Afrika
bosk003	Nederland	
bosk005		
bosm005	Zuid-Afrika	Zuid-Afrika
bosq001		
boss003		
boss019	Nederland	Nederland
boss021	Nederland	Nederland
boss027	België (Wallonië)	
boss029	Nederland	Nederland
boss031		
boss033	Nederland	Nederland
boss034		
boss058	Suriname	Nederland
boss064	Nederland	Nederland
boss078		
boss079		
bost002		
bosw005	Nederland	Nederland
bos_002		
bos_004		
bos_005		
bos_011		
bos_053	Nederland	Nederland
bos_067	Nederland	Nederland
bos_071		
bos_084	Nederland	
both004	Zuid-Afrika	
both008	Nederland	Nederland
bots002	Nederland	Nederland
bott005	Nederland	Nederland
bott007	Nederland	Nederland
bott014	Nederland	Nederland
bott015	Nederland	Nederland
bott020		
bot_001		
bot_028	Nederland	
bouc004		
bouc041		
boud007	Nederland	Nederland
boud011	Nederland	
bouh001	Nederland	Nederland
boum001		
boum003	Nederland	Nederland
boum008	Indonesië	Nederland
boum010	Nederland	Nederland
boum036		
boum041	Nederland	Nederland
boum063		
bour001	Nederland	Nederland
bour005	Nederland	
bour066		
bous002	België (Wallonië)	
bout005	Nederland	Nederland
bout010	Nederland	Nederland
bout019		
bouv006	Nederland	Nederland
bouw001	Nederland	
bouw008	Nederland	
bouw034		
bouw051		
bouw060	Nederland	Nederland
bove002	Nederland	
bove005		
bove009		
bove010		
bove013	Nederland	
bove016		
boxm002	Nederland	Nederland
boxm003		
boye001	Nederland	
boys001		
boyz001		
braa001		
braa002	Nederland	Nederland
braa003		
braa010	Indonesië	Nederland
braa012	Nederland	
braa018	Nederland	Nederland
braa019	Nederland	Nederland
braa043	Nederland	
braa064	Nederland	
brab001	Nederland	Nederland
brab004	België (Wallonië)	België (Wallonië)
brab005		
brab025		
brac001	Indonesië	
brac005		
brae003	België (Wallonië)	België (Wallonië)
brae006	Nederland	
brae008	België (Wallonië)	België (Wallonië)
brak005	Nederland	Nederland
brak024	Nederland	Nederland
brak039		
brak043		
bran012		
bran021	Nederland	Duitsland
bran023	Nederland	Nederland
bran024	Nederland	Nederland
bran027	Nederland	Nederland
bran028		
bran037	België (Wallonië)	België (Wallonië)
bran039	Nederland	
bran055	Nederland	
bran060		Nederland
bran069	Nederland	Nederland
bran070	Nederland	Nederland
bran108	Nederland	België (Wallonië)
bran118		
bran122	Italië	Italië
bran124		
bran126		
bran165		
bran182		
bras001	Nederland	
brat002	Nederland	
brat004	Nederland	Nederland
brau006	België (Wallonië)	België (Wallonië)
brec022	Uruguay	Argentinië
bred004	Nederland	Monaco
bred081		
bree001	Nederland	
bree002		
bree005	Nederland	Nederland
bree008	Nederland	Nederland
bree009	Nederland	
bree017		
bree018		
breh003		
brek003	Nederland	Nederland
brem012	België (Wallonië)	
brem016	België (Wallonië)	
brem018	Nederland	
brem019		
brem021	België (Wallonië)	
brem022	Nederland	Nederland
brem031	Nederland	
brem036	Nederland	
bren014	Duitsland	Nederland
bres006		
breu003	Nederland	Nederland
breu005	Nederland	Frankrijk
breu006	Nederland	
breu019		
brev001	Nederland	Nederland
brey003	Frankrijk	Duitsland
brey004	Zuid-Afrika	Frankrijk
brez004		
brie004	Nederland	
brie028	België (Wallonië)	
brie033		
brij001	België (Wallonië)	
bril001	Nederland	Nederland
bril002	Nederland	Nederland
bril011		
brin004	Nederland	
brin007		
brin010	Nederland	Nederland
brin015	Nederland	
brin017	Nederland	Nederland
brin020	Nederland	Nederland
brin022	Zuid-Afrika	Nederland
brin030	Nederland	Nederland
brin032		
brin033	Nederland	
brin068	Nederland	Nederland
brin078	Nederland	
brin079		
brin109	Nederland	
brin111		
brio002		
broc004	Groot-Brittannië (en Noord-Ierland)	Nederland
brod002	Rusland	Verenigde Staten
brod003	Tsjechië	
broe002		
broe004		
broe006	België (Wallonië)	
broe007		
broe010	Nederland	Nederland
broe012		
broe017	België (Wallonië)	België (Wallonië)
broe023	Nederland	
broe061		
broe062		
broe064	Nederland	Zuid-Afrika
broe067		
broe070		
broe071	Nederland	België (Wallonië)
broe130		
broe154		
broe168		
broe182		
broe183		
broe229		
broe254		
broe264		
brok002	Nederland	
brom001	Nederland	Nederland
brom002	Nederland	Nederland
brom003	Nederland	
brom006		
brom011	Nederland	Nederland
bron001	België (Wallonië)	België (Wallonië)
bron013	Nederland	Nederland
bron015		
bron016		
bron070		
bron097	Polen	
broo011		
broo017	Groot-Brittannië (en Noord-Ierland)	
brou009		
brou013	Nederland	Nederland
brou016	Nederland	Nederland
brou021	Nederland	
brou033	Indonesië	Nederland
brou035	Nederland	
brou050	Nederland	
brou116		
brou129		
brou178		
brou186		
brow024		
bruc017		
bruc022		
brud002		
brug004	Nederland	Nederland
brug007	Nederland	Nederland
brug008	België (Wallonië)	België (Wallonië)
brug012		
brug014	Nederland	Nederland
brug015	Nederland	Nederland
brug019		
brug023	Nederland	Nederland
brug027		Nederland
brug033		
brug034	Nederland	Nederland
brug035	Nederland	Nederland
brug039	Nederland	België (Wallonië)
brug066	Nederland	
brug069	België (Wallonië)	Nederland
brug099		
brui005	Nederland	
brui007	Nederland	Nederland
brui009	Nederland	Nederland
brui022	Nederland	
brui039		
brui040		
brui041		
brui043	Nederland	
brui044	Nederland	Nederland
brui045	Nederland	Nederland
brui046	Nederland	Verenigde Staten
brui098	Nederland	Nederland
brui099		
brui112		
brui129		
brui130		
brui132		
brui148		
brui156		
brui157		
brul001	België (Wallonië)	België (Wallonië)
brul002	België (Wallonië)	Maleisië
brul004		
brul009	België (Wallonië)	Duitsland
brum003	Nederland	Nederland
brum016		
brun001	Nederland	Nederland
brun005	België (Wallonië)	Duitsland
brun007	Nederland	Nederland
brun008	Nederland	Nederland
brun009	Nederland	Nederland
brun011		
brun012		
brun020		
brun024	Nederland	
brun087	Frankrijk	Duitsland
brun091		
brus002	Nederland	Nederland
brus022	Nederland	
brut001	België (Wallonië)	
brut007		
bruy003	België (Wallonië)	België (Wallonië)
bruy006	België (Wallonië)	
bruy008	België (Wallonië)	Argentinië
bruy019	Nederland	Nederland
bruy021		
bruy028	Nederland	Indonesië
bruy030	België (Wallonië)	
bruy067		
bruy074	België (Wallonië)	België (Wallonië)
bruy076	Nederland	
bruy091		
bruy094		
bruy101		
bruy115	België (Wallonië)	
buch001	Nederland	Nederland
buch005		
buch021		
buck003	Nederland	Nederland
buck005	België (Wallonië)	België (Wallonië)
buck007	België (Wallonië)	België (Wallonië)
buck009	Nederland	Nederland
buck014	Verenigde Staten	Verenigde Staten
budd001	Nederland	Nederland
budd003	Nederland	Nederland
bude001	Nederland	
buel002	België (Wallonië)	
buel003		
buer006	Nederland	Nederland
buff007		
buij001	Nederland	
buij007		
buis002	Nederland	Nederland
buis005	Nederland	Nederland
buis006	Nederland	Nederland
buis007	Nederland	Nederland
buit001	Nederland	Nederland
buit003	Nederland	Nederland
buit006	Nederland	Nederland
bukd001	Denemarken	Denemarken
bulc003		
bulc007		
bulh001	Nederland	Nederland
bulh002	Nederland	Nederland
bull001	Nederland	Nederland
bult003	Nederland	
bult007	Nederland	Nederland
bult008	België (Wallonië)	
buma003	Nederland	
buma006	Nederland	Nederland
bung001		
buni005	België (Wallonië)	Nederland
buni007	Rusland	Rusland
burg010	Nederland	Nederland
burg011	Nederland	
burg015	Nederland	Nederland
burg024	Nederland	Nederland
burg026		
burg058	Nederland	Nederland
burg065		
burg085	Nederland	
burg086		
burg091		
burg122		
burg125	Groot-Brittannië (en Noord-Ierland)	
burg132		
burg133		
buri002	Nederland	Nederland
burr001		
burs002	België (Wallonië)	België (Wallonië)
burt006		
burv002	België (Wallonië)	België (Wallonië)
busk001	Nederland	Frankrijk
busk002	Nederland	Frankrijk
busk003	Nederland	Frankrijk
busk005	Nederland	Nederland
buss005	België (Wallonië)	België (Wallonië)
buss013	Nederland	Nederland
buss014	Nederland	Nederland
buul001	Nederland	Nederland
buur001	Nederland	Nederland
buur002	Nederland	
buur004	Nederland	
buur012	Nederland	
buve002		
buwa003	België (Wallonië)	
buyl001	België (Wallonië)	
buyl002	België (Wallonië)	België (Wallonië)
buys009	België (Wallonië)	België (Wallonië)
buys013	Nederland	Nederland
buys017	Nederland	Nederland
buys019		
buyt004		
buze001		
byva001	Nederland	Nederland
byva002	Nederland	Nederland
caek001		
caen004	België (Wallonië)	België (Wallonië)
caey001	België (Wallonië)	België (Wallonië)
cahe001		
cahn003		
caig003		
cail001	Congo-Kinshasa	
cail002	België (Wallonië)	België (Wallonië)
cair001	Suriname	Nederland
cala002	Nederland	Nederland
calc002	Nederland	Nederland
calc003		
cald003		
cali001		
cali002	Nederland	
calj001		Nederland
calk004	Caribisch deel van het Nederlandse Koninkrijk	
calk015	Nederland	Nederland
call015		
