pers_id;achternaam;voornaam;voorvoegsel;omschrijving
aben008;Abendana de Britto;Is.;;joods geestelijke
aben012;Aben;Jos;;vertaler
aber001;Aberson;F.N.L.;;militair/officier
aber002;Aberson;Louis;;militair/officier
abko001;Abkoude;Chr.;van;journalist/redacteur
abko001;Abkoude;Chr.;van;toneelspeler
abko001;Abkoude;Chr.;van;onderwijzer (basisschool)
abko002;Abkoude;J.;van;boekhandelaar
abla001;Ablaing van Giessenburg;R.C.;d';boekhandelaar
abla001;Ablaing van Giessenburg;R.C.;d';boekdrukker/uitgever
abla002;Ablaing;Willem Matthias;d';leraar/docent/hoogleraar
abla003;Ablaing van Giessenburg;Willem Jan;baron d';politicus/staatsman/bestuurder
abla004;Ablaing;Johannes Cornelis;d';militair/officier
abla005;Ablaing van Giessenburg;Johan Daniel;d';politicus/staatsman/bestuurder
abla006;Ablaing van Giessenburg;J.D.C.C.W.;d';militair/officier
abli001;Ablijen;Cornelis;;vertaler
abma001;Abma;G. Willem;;leraar/docent/hoogleraar
abma002;Abma;Gerben;;leraar/docent/hoogleraar
abma004;Abma;Auke;;vertaler
abma005;Abma;R.;;leraar/docent/hoogleraar
abne001;Abney;Ph.;;koopman/zakenman/indust.
aboa001;Aboab;Abr.;;koopman/zakenman/indust.
aboa001;Aboab;Abr.;;joods geestelijke
aboa002;Aboab;Dan. S.;;medicus/apotheker
aboa003;Aboab;Dav. S.;;medicus/apotheker
aboa004;Aboab;E.;;boekdrukker/uitgever
aboa005;Aboab;Is.;;joods geestelijke
aboa006;Aboab;Isaac da Fonseca;;joods geestelijke
abou001;Abousleiman;Jihad;;beeldend kunstenaar/illustrator/tekenaar
abou001;Abousleiman;Jihad;;kunsthistoricus/kunsthandelaar
abou003;Aboutaleb;Ahmed;;politicus/staatsman/bestuurder
abra003;Abrahamsz. De Haan;Galenus;;herv./geref. predikant/leraar
abra003;Abrahamsz. De Haan;Galenus;;medicus/apotheker
abra003;Abrahamsz. De Haan;Galenus;;doopsgezind predikant/leraar
abra007;Abramsz.;Simon;;onderwijzer (basisschool)
abra009;Abrahams;Frits;;journalist/redacteur
abra010;Abrahami;Anne;;herv./geref. predikant/leraar
abra011;Abrahams;Hendrik Adriaan;;boekdrukker/uitgever
abra012;Abrahams;Hendrik Paulus;;journalist/redacteur
abra013;Abrahamsz.;Claes;;ambachtsman
abra014;Abrahamsz.;Ger.;;militair/officier
abra016;Abrahams;Gerard;;militair/officier
abra019;Abraham;Bertrand;;vertaler
abra030;Abrahams;Jean-Jacques;;advocaat/jurist
abre001;Abresch;F.L.;;herv./geref. predikant/leraar
abre002;Abresch;F.Is.;;advocaat/jurist
abre002;Abresch;F.Is.;;politicus/staatsman/bestuurder
abre003;Abresch;F.L.;;leraar/docent/hoogleraar
abre003;Abresch;F.L.;;classicus
abre004;Abresch;J.F.;;advocaat/jurist
abre005;Abresch;J.F.L.;;herv./geref. predikant/leraar
abre005;Abresch;J.F.L.;;classicus
abre006;Abresch;Petrus;;herv./geref. predikant/leraar
abre006;Abresch;Petrus;;letterkundige (NIET-neerl.)
abro001;Abroeck;Johannes;;rk-geestelijke/kloosterling
abru001;Abrugge;Mattheus;;advocaat/jurist
abry001;Abry;Léon;;beeldend kunstenaar/illustrator/tekenaar
abse001;Abse;Dannie;;medicus/apotheker
abse002;Absel;Willem;;rk-geestelijke/kloosterling
absp001;Abspoel;Peter;;vertaler
abt_001;Abt;Franz;;musicus/minstreel/jongleur
acca002;Accama;Bernardus;;beeldend kunstenaar/illustrator/tekenaar
acca003;Accama;Bernardus;;schilder
acca004;Accama;Matthijs;;schilder
acca005;Accama;Simon;;schilder
acca006;Accardo;Mariano;;ambtenaar
ache001;Achelen;Ant.;van;rk-geestelijke/kloosterling
ache001;Achelen;Ant.;van;militair/officier
ache002;Achelen;Igr.;van;politicus/staatsman/bestuurder
ache003;Achelen;R.;van;militair/officier
ache004;Achenbach;Bernard Philip;;militair/officier
ache005;Achelis;Ernst;;leraar/docent/hoogleraar
ache005;Achelis;Ernst;;theoloog
achl001;Achleitner;Friedrich;;beeldend kunstenaar/illustrator/tekenaar
acht006;Achterland;Gerrit;;journalist/redacteur
acht007;Achterhuis;Hans;;filosoof
acht007;Achterhuis;Hans;;leraar/docent/hoogleraar
acht008;Achter;F.A.;van;leraar/docent/hoogleraar
acht009;Achter;Jos.;van der;rk-geestelijke/kloosterling
acht015;Achten;Dirk;;journalist/redacteur
acim001;Aciman;André;;leraar/docent/hoogleraar
acke001;Acker;Achiel;van;politicus/staatsman/bestuurder
acke001;Acker;Achiel;van;boekhandelaar
acke001;Acker;Achiel;van;boekdrukker/uitgever
acke003;Acker;K.G.;van;archivaris/bibliothecaris
acke004;Acker;K.;van;zielsverzorger/psychol/ps.ther.
acke006;Acket;J. Mathijs;;onderwijzer (basisschool)
acke007;Ackersdijck;Willem Cornelis;;advocaat/jurist
acke007;Ackersdijck;Willem Cornelis;;historicus/archeoloog
acke008;Ackersdijck;J.;;advocaat/jurist
acke012;Acker;Vopiscus Horatius;;leraar/docent/hoogleraar
acke013;Acker;E.P.;van;koopman/zakenman/indust.
acke014;Ackerlin-Gregoor;H.A.;;vertaler
acke015;Ackerman;H.Jz.;;politicus/staatsman/bestuurder
acke016;Ackerman;Jeremias;;herv./geref. predikant/leraar
acke017;Ackermans;P.J.;;militair/officier
acke018;Ackersloot;Hendrik;;toneelspeler
acke020;Acker;André;van;ambtenaar
acke022;Acket;Désiré;;beeldend kunstenaar/illustrator/tekenaar
acke023;Ackere;Jules;Van;leraar/docent/hoogleraar
acke023;Ackere;Jules;Van;letterkundige (NIET-neerl.)
acke024;Acker;L.;Van;historicus/archeoloog
acke029;Acker;Frans;van;rk-geestelijke/kloosterling
acke032;Ackere;Fernand;van;architect/bouwmeester/bouwkundig ingenieur
acke036;Acke;Jan;;vertaler
acke039;Acker;Frank;Van;politicus/staatsman/bestuurder
acke042;Acker;Flori;Van;beeldend kunstenaar/illustrator/tekenaar
acke045;Acker;Jan;van;historicus/archeoloog
acke047;Ackermans;Jeltje;;vertaler
acos001;Acosta;Is.;d';joods geestelijke
acqu001;Acquet;Hendrik;d';medicus/apotheker
acqu002;Acquoy;J.G.R.;;historicus/archeoloog
acqu002;Acquoy;J.G.R.;;herv./geref. predikant/leraar
acqu003;Acquoy;J.;;historicus/archeoloog
acqu004;Acquoy;Jacobus;;onderwijzer (basisschool)
acqu004;Acquoy;Jacobus;;wiskundige
acqu005;Acquoy;Jacobus;;leraar/docent/hoogleraar
acqu005;Acquoy;Jacobus;;wiskundige
acro001;Acronius;D.;;herv./geref. predikant/leraar
acro002;Acronius;Johannes;;herv./geref. predikant/leraar
acro003;Acronius;Ruardus;;herv./geref. predikant/leraar
acro004;Acronius;Wessel;;herv./geref. predikant/leraar
acro005;Acronius a Bouma;Dominicus;;leraar/docent/hoogleraar
adac001;Adacee;;;zielsverzorger/psychol/ps.ther.
adam001;Adam;Frank;;leraar/docent/hoogleraar
adam001;Adam;Frank;;toneelspeler
adam003;Adama van Scheltema;C.S.;;toneelspeler
adam004;Adama van Scheltema sr.;C.S.;;herv./geref. predikant/leraar
adam006;Adama van Scheltema;Frederik;;kunsthistoricus/kunsthandelaar
adam007;Adam;Roel;;toneelspeler
adam008;Adam;Wybe;;architect/bouwmeester/bouwkundig ingenieur
adam009;Adama;Augustinus Lollius;;medicus/apotheker
adam009;Adama;Augustinus Lollius;;leraar/docent/hoogleraar
adam010;Adama;Godfried;;herv./geref. predikant/leraar
adam011;Adama;Hendricus;;herv./geref. predikant/leraar
adam011;Adama;Hendricus;;leraar/docent/hoogleraar
adam012;Adama;Jacobus;;leraar/docent/hoogleraar
adam013;Adama;Lollius;;filosoof
adam013;Adama;Lollius;;advocaat/jurist
adam013;Adama;Lollius;;leraar/docent/hoogleraar
adam014;Adama;L.;;advocaat/jurist
adam015;Adama;P.Az.;;herv./geref. predikant/leraar
adam015;Adama;P.Az.;;vertaler
adam016;Adami;Cornelius;;herv./geref. predikant/leraar
adam017;Adams;Pieter;;architect/bouwmeester/bouwkundig ingenieur
adam018;Adams;William;;zeevarende
adam026;Adams;Arno;;musicus/minstreel/jongleur
adam027;Adams;Jean;;rk-geestelijke/kloosterling
adam027;Adams;Jean;;beeldend kunstenaar/illustrator/tekenaar
adam033;Adamo;Max;;beeldend kunstenaar/illustrator/tekenaar
adan003;Adan;Emile;;aardrijkskundige/cartograaf
adde002;Addens;Nanno Gerhard;;historicus/archeoloog
addi003;Addison;Henry Robert;;militair/officier
addi003;Addison;Henry Robert;;journalist/redacteur
adel007;Adelaer;K.;;militair/officier
adel010;Adels;W.;;zeevarende
adel025;Adelborg;Otillia;;beeldend kunstenaar/illustrator/tekenaar
adhe001;Adhémar;Jean;;kunsthistoricus/kunsthandelaar
adin001;Adinegoro;Dj.;;journalist/redacteur
adle002;Adler;Alfred;;zielsverzorger/psychol/ps.ther.
admi001;Admiraal;Aart;;leraar/docent/hoogleraar
adne001;Adney;Eugénie;;vertaler
adol001;Adolf;Audolf;;politicus/staatsman/bestuurder
adol007;Adolphi;Christoffel;;ambachtsman
adol008;Adolfsz;Christoffel;;beeldend kunstenaar/illustrator/tekenaar
adon001;Adona;;;vertaler
ador002;Adornes;Jan;;rk-geestelijke/kloosterling
ador003;Adorno;Theodor W.;;filosoof
ador003;Adorno;Theodor W.;;musicus/minstreel/jongleur
adri004;Adriaens;M.;;journalist/redacteur
adri009;Adriaensen van Dordrecht;Cornelis;;herv./geref. predikant/leraar
adri011;Adriaensen;J.B.C.;;onderwijzer (basisschool)
adri014;Adriani;Marcus Jan;;herv./geref. predikant/leraar
adri014;Adriani;Marcus Jan;;onderwijzer (basisschool)
adri015;Adriani;Bernard Jacob;;herv./geref. predikant/leraar
adri016;Adriani;Rudolf;;herv./geref. predikant/leraar
adri017;Adriani;Arius;;herv./geref. predikant/leraar
adri017;Adriani;Arius;;leraar/docent/hoogleraar
adri020;Adriaansens;H.P.M.;;leraar/docent/hoogleraar
adri023;Adriaans;Gerardus;;rk-geestelijke/kloosterling
adri024;Adriaans;Maria;;rk-geestelijke/kloosterling
adri025;Adriaansens;Cornelis Franciscus;;rk-geestelijke/kloosterling
adri026;Adriaensens;J.;;rk-geestelijke/kloosterling
adri027;Adriaensens;P.J.;;rk-geestelijke/kloosterling
adri028;Adriaensz.;Adriaen;;beeldend kunstenaar/illustrator/tekenaar
adri028;Adriaensz.;Adriaen;;ambachtsman
adri029;Adriaensz.;Barent;;boekdrukker/uitgever
adri030;Adriaensz.;Claes;;herv./geref. predikant/leraar
adri031;Adriaensz.;Claes;;architect/bouwmeester/bouwkundig ingenieur
adri031;Adriaensz.;Claes;;ambachtsman
adri032;Adriaensz.;Cornelis;;herv./geref. predikant/leraar
adri033;Adriaensz.;Cornelis;;schilder
adri035;Adriaensz.;Dirk;;wiskundige
adri036;Adriaensz.;Gerard;;schilder
adri037;Adriaensz.;Gerbr.;;herv./geref. predikant/leraar
adri038;Adriaensz.;Gerrit;;rk-geestelijke/kloosterling
adri040;Adriaensz.;Jan;;schilder
adri041;Adriaensz.;Jan;;herv./geref. predikant/leraar
adri042;Adriaensz.;Jasper;;politicus/staatsman/bestuurder
adri042;Adriaensz.;Jasper;;aardrijkskundige/cartograaf
adri044;Adriaensz.;Nicolaes;;schilder
adri045;Adriaensz.;Pieter;;beeldend kunstenaar/illustrator/tekenaar
adri045;Adriaensz.;Pieter;;ambachtsman
adri046;Adriaensz.;Pieter;;herv./geref. predikant/leraar
